OBJECTID,Zoning_ID,Category,Subcategory,Use_Type,Use_Status,Density,Unit,Notes
3392,PCAP_CONS_WATSON,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
3393,PCAP_CONS_WATSON,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
3394,PCAP_CONS_WATSON,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
3395,PCAP_CONS_WATSON,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
3396,PCAP_CONS_WATSON,Resource Management,Range,Farm/Ranch Accessory Structures,Minor Use,,NA,NA
3397,PCAP_CONS_WATSON,Resource Management,Range,Grazing,Minor Use,,NA,NA
3398,PCAP_CONS_WATSON,Resource Management,Range,Ranch Pasture Management,Allowed,,NA,NA
3399,PCAP_CONS_WATSON,Resource Management,Range,Range Improvement,Allowed,,NA,NA
3400,PCAP_CONS_WATSON,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
3401,PCAP_CONS_WATSON,Resource Management,Vegetation Protection,Prescribed Fire/Burning Management,Allowed,,NA,NA
3402,PCAP_CONS_WATSON,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
3403,PCAP_CONS_WATSON,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
3404,PCAP_CONS_WATSON,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
3405,PCAP_CONS_WATSON,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
3406,PCAP_CONS_WATSON,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
3407,PCAP_CONS_WATSON,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
3408,PCAP_CONS_WATSON,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
3409,PCAP_RES_WOODVISTA,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,NA
3410,PCAP_RES_WOODVISTA,Public Services,General,Local Public Health and Safety Facilities,Minor Use,,NA,NA
3411,PCAP_RES_WOODVISTA,Public Services,General,Public Utility Centers,Minor Use,,NA,NA
3412,PCAP_RES_WOODVISTA,Public Services,General,Local Post Office,Minor Use,,NA,NA
3413,PCAP_RES_WOODVISTA,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Conditional Use,,NA,NA
3414,PCAP_RES_WOODVISTA,Public Services,Linear Public Facilities,Transportation Routes,Conditional Use,,NA,NA
3415,PCAP_RES_WOODVISTA,Public Services,Linear Public Facilities,Transit Stations and Terminals,Conditional Use,,NA,NA
3416,PCAP_RES_WOODVISTA,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Minor Use,,NA,"Placer County Code, Section 17.56.060.F"
3417,PCAP_RES_WOODVISTA,Recreation,Recreation,Participant Sports Facilities,Minor Use,,NA,NA
3418,PCAP_RES_WOODVISTA,Recreation,Recreation,Cross Country Ski Courses,Minor Use,,NA,NA
3419,PCAP_RES_WOODVISTA,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
3420,PCAP_RES_WOODVISTA,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
3421,PCAP_RES_WOODVISTA,Recreation,Recreation,Golf Courses,Allowed,,NA,NA
3422,PCAP_RES_WOODVISTA,Recreation,Recreation,Snowmobile Courses,Conditional Use,,NA,NA
3423,PCAP_RES_WOODVISTA,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
3424,PCAP_RES_WOODVISTA,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
3425,PCAP_RES_WOODVISTA,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
3426,PCAP_RES_WOODVISTA,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
3427,PCAP_RES_WOODVISTA,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
3428,PCAP_RES_WOODVISTA,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
3429,PCAP_RES_WOODVISTA,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
3430,PCAP_RES_WOODVISTA,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
3431,PCAP_RES_WOODVISTA,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
3432,PCAP_RES_WOODVISTA,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
3433,PCAP_RES_WOODVISTA,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
3434,PCAP_RES_WOODVISTA,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
3435,PCAP_RES_WOODVISTA,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
3436,PCAP_RES_WOODVISTA,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
3437,PCAP_RES_WOODVISTA,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
3438,PCAP_RES_WOODVISTA,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
3439,PCAP_RES_WOODVISTA,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
3440,TVAP_CMX_S,Residential,Residential,Employee Housing,Special Use,25,units per acre,NA
3441,TVAP_CMX_S,Residential,Residential,Mobile Home Dwelling,Special Use,8,units per acre,NA
3442,TVAP_CMX_S,Residential,Residential,Single Family Dwelling,Special Use,1,units per acre,Allowed as part of a mixed-used project.
3443,TVAP_CMX_S,Residential,Residential,Multiple Family Dwelling,Special Use,25,units per acre,Allowed as part of a mixed-used project.
3444,TVAP_CMX_S,Residential,Residential,Multi-Person Dwelling,Special Use,25,persons per acre,NA
3445,TVAP_CMX_S,Commercial,Retail,"Auto, Mobile Home and  Vehicle Dealers",Allowed,,NA,NA
3446,TVAP_CMX_S,Commercial,Retail,General Merchandise Stores,Allowed,,NA,NA
3447,TVAP_CMX_S,Commercial,Retail,Building Materials and Hardware,Allowed,,NA,NA
3448,TVAP_CMX_S,Commercial,Retail,Nursery,Allowed,,NA,NA
3449,TVAP_CMX_S,Commercial,Retail,Outdoor Retail Sales,Allowed,,NA,NA
3450,TVAP_CMX_S,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,NA
3451,TVAP_CMX_S,Commercial,Retail,Service Stations,Allowed,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3452,TVAP_CMX_S,Commercial,Entertainment,Amusements and Recreation Services,Allowed,,NA,NA
3453,TVAP_CMX_S,Commercial,Services,Animal Husbandry Services,Allowed,,NA,NA
3454,TVAP_CMX_S,Commercial,Services,Auto Repair and Service,Allowed,,NA,NA
3455,TVAP_CMX_S,Commercial,Services,Professional Offices,Allowed,,NA,NA
3456,TVAP_CMX_S,Commercial,Services,Repair Services,Allowed,,NA,NA
3457,TVAP_CMX_S,Commercial,Services,Business Support Services,Allowed,,NA,NA
3458,TVAP_CMX_S,Commercial,Services,Sales Lots,Allowed,,NA,NA
3460,TVAP_CMX_S,Commercial,Services,Secondary Storage,Allowed,,NA,NA
3461,TVAP_CMX_S,Commercial,Services,Health Care Services,Allowed,,NA,NA
3462,TVAP_CMX_S,Commercial,Services,Laundries and Dry Cleaning Plant,Allowed,,NA,NA
3463,TVAP_CMX_S,Commercial,Light Industrial,Food and Kindred Products,Allowed,,NA,NA
3464,TVAP_CMX_S,Commercial,Light Industrial,Recycling and Scrap,Allowed,,NA,NA
3459,TVAP_CMX_S,Commercial,Services,Schools - Business and Vocational,Allowed,,NA,Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
3465,TVAP_CMX_S,Commercial,Light Industrial,Fuel and Ice Dealers,Allowed,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3466,TVAP_CMX_S,Commercial,Light Industrial,Small Scale Manufacturing,Allowed,,NA,NA
3467,TVAP_CMX_S,Commercial,Light Industrial,Industrial Services,Allowed,,NA,NA
3468,TVAP_CMX_S,Commercial,Light Industrial,,Allowed,,NA,"Use not in the Code of Ordinances, should I add to use domain?"
3469,TVAP_CMX_S,Commercial,Wholesale/Storage,Storage Yards,Allowed,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3470,TVAP_CMX_S,Commercial,Wholesale/Storage,Warehousing,Allowed,,NA,NA
3471,TVAP_CMX_S,Commercial,Wholesale/Storage,Vehicle and Freight Terminals,Allowed,,NA,NA
3472,TVAP_CMX_S,Commercial,Wholesale/Storage,Wholesale and Distribution,Allowed,,NA,NA
3473,TVAP_CMX_S,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Allowed,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3474,TVAP_CMX_S,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,NA
3475,TVAP_CMX_S,Public Services,General,Membership Organizations,Allowed,,NA,NA
3476,TVAP_CMX_S,Public Services,General,Religious Assembly,Special Use,,NA,NA
3477,TVAP_CMX_S,Public Services,General,Collection Stations,Allowed,,NA,Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
3478,TVAP_CMX_S,Public Services,General,Cultural Facilities,Allowed,,NA,NA
3479,TVAP_CMX_S,Public Services,General,Public Utility Centers,Allowed,,NA,NA
3480,TVAP_CMX_S,Public Services,General,Day Care Centers/Pre-Schools,Special Use,,NA,NA
3481,TVAP_CMX_S,Public Services,General,Regional Public Health and Safety Facilities,Special Use,,NA,NA
3482,TVAP_CMX_S,Public Services,General,Government Offices,Allowed,,NA,NA
3483,TVAP_CMX_S,Public Services,General,Local Assembly and Entertainment,Special Use,,NA,NA
3484,TVAP_CMX_S,Public Services,General,Local Post Office,Allowed,,NA,NA
3485,TVAP_CMX_S,Public Services,General,Social Service Organizations,Allowed,,NA,NA
3486,TVAP_CMX_S,Public Services,General,Threshold-Related Research Facilities,Allowed,,NA,NA
3487,TVAP_CMX_S,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Allowed,,NA,NA
3488,TVAP_CMX_S,Public Services,Linear Public Facilities,Transportation Routes,Allowed,,NA,NA
3489,TVAP_CMX_S,Public Services,Linear Public Facilities,Transit Stations and Terminals,Allowed,,NA,NA
3490,TVAP_CMX_S,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Allowed,,NA,NA
3491,TVAP_CMX_S,Recreation,Recreation,Participant Sports Facilities,Special Use,,NA,NA
3492,TVAP_CMX_S,Recreation,Recreation,Recreation Centers,Allowed,,NA,NA
3493,TVAP_CMX_S,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
3494,TVAP_CMX_S,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
3495,TVAP_CMX_S,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
3496,TVAP_CMX_S,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
3497,TVAP_CMX_S,Resource Management,Timber Management,Regeneration Harvest,Allowed,,NA,NA
3498,TVAP_CMX_S,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
3499,TVAP_CMX_S,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
3500,TVAP_CMX_S,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
3501,TVAP_CMX_S,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
3502,TVAP_CMX_S,Resource Management,Timber Management,Tree Farms,Allowed,,NA,NA
3503,TVAP_CMX_S,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
3504,TVAP_CMX_S,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
3505,TVAP_CMX_S,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
3506,TVAP_CMX_S,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
3507,TVAP_CMX_S,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
3508,TVAP_CMX_S,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
3509,TVAP_CMX_S,Resource Management,Vegetation Protection,Prescribed Fire/Burning Management,Allowed,,NA,NA
3510,TVAP_CMX_S,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
3511,TVAP_CMX_S,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
3512,TVAP_CMX_S,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
3513,TVAP_CMX_S,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
3514,TVAP_CMX_S,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
3515,TVAP_CMX_S,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
3516,TVAP_CMX_S,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
3517,TVAP_TC_C,Residential,Residential,Employee Housing,Allowed,25,units per acre,NA
3518,TVAP_TC_C,Residential,Residential,Single Family Dwelling,Allowed,1,units per acre,"Parcels greater than 1 acre: 2 units per parcel, provided one unit is an authorized secondary residence. Condominiums only."
3519,TVAP_TC_C,Residential,Residential,Multiple Family Dwelling,Allowed,25,units per acre,NA
3520,TVAP_TC_C,Tourist Accommodation,Tourist Accommodation,"Hotel, Motel, and Other Transient Dwelling Units",Allowed,,NA,NA
3521,TVAP_TC_C,Tourist Accommodation,Tourist Accommodation,Time Sharing (Hotel/Motel Design),Allowed,,NA,NA
3522,TVAP_TC_C,Tourist Accommodation,Tourist Accommodation,Time Sharing (Residential Design),Allowed,,NA,NA
3523,TVAP_TC_C,Commercial,Retail,General Merchandise Stores,Allowed,,NA,NA
3524,TVAP_TC_C,Commercial,Retail,Building Materials and Hardware,Special Use,,NA,NA
3525,TVAP_TC_C,Commercial,Retail,Outdoor Retail Sales,Special Use,,NA,NA
3526,TVAP_TC_C,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,NA
3527,TVAP_TC_C,Commercial,Retail,Service Stations,Special Use,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3528,TVAP_TC_C,Commercial,Entertainment,Amusements and Recreation Services,Allowed,,NA,NA
3529,TVAP_TC_C,Commercial,Entertainment,Outdoor Amusements,Special Use,,NA,NA
3530,TVAP_TC_C,Commercial,Entertainment,Privately Owned Assembly and Entertainment,Allowed,,NA,Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
3531,TVAP_TC_C,Commercial,Services,Personal Services,Allowed,,NA,NA
3532,TVAP_TC_C,Commercial,Services,Professional Offices,Allowed,,NA,As part of a mixed-use project only.
3533,TVAP_TC_C,Commercial,Services,Repair Services,Special Use,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3534,TVAP_TC_C,Commercial,Services,Business Support Services,Allowed,,NA,NA
3535,TVAP_TC_C,Commercial,Services,Schools - Business and Vocational,Special Use,,NA,Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
3536,TVAP_TC_C,Commercial,Services,Secondary Storage,Special Use,,NA,NA
3537,TVAP_TC_C,Commercial,Services,Health Care Services,Allowed,,NA,NA
3538,TVAP_TC_C,Commercial,Light Industrial,Small Scale Manufacturing,Special Use,,NA,NA
3539,TVAP_TC_C,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Special Use,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3540,TVAP_TC_C,Public Services,General,Religious Assembly,Allowed,,NA,NA
3541,TVAP_TC_C,Public Services,General,Publicly Owned Assembly and Entertainment,Allowed,,NA,Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
3542,TVAP_TC_C,Public Services,General,Cultural Facilities,Allowed,,NA,NA
3543,TVAP_TC_C,Public Services,General,Public Utility Centers,Special Use,,NA,NA
3544,TVAP_TC_C,Public Services,General,Day Care Centers/Pre-Schools,Allowed,,NA,As part of a mixed-use project only.
3545,TVAP_TC_C,Public Services,General,Government Offices,Allowed,,NA,NA
3546,TVAP_TC_C,Public Services,General,Local Assembly and Entertainment,Allowed,,NA,NA
3547,TVAP_TC_C,Public Services,General,Local Post Office,Allowed,,NA,As part of a mixed-use project only.
3548,TVAP_TC_C,Public Services,General,Threshold-Related Research Facilities,Allowed,,NA,As part of a mixed-use project only.
3549,TVAP_TC_C,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
3550,TVAP_TC_C,Public Services,Linear Public Facilities,Transportation Routes,Allowed,,NA,NA
3551,TVAP_TC_C,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
3552,TVAP_TC_C,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
3553,TVAP_TC_C,Recreation,Recreation,Outdoor Recreation Concessions,Allowed,,NA,NA
3554,TVAP_TC_C,Recreation,Recreation,Participant Sports Facilities,Special Use,,NA,NA
3555,TVAP_TC_C,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
3556,TVAP_TC_C,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
3557,TVAP_TC_C,Recreation,Recreation,Visitor Information Centers,Special Use,,NA,NA
3558,TVAP_TC_C,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
3559,TVAP_TC_C,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
3560,TVAP_TC_C,Resource Management,Timber Management,Regeneration Harvest,Allowed,,NA,NA
3561,TVAP_TC_C,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
3562,TVAP_TC_C,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
3563,TVAP_TC_C,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
3564,TVAP_TC_C,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
3565,TVAP_TC_C,Resource Management,Timber Management,Tree Farms,Allowed,,NA,NA
3566,TVAP_TC_C,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
3567,TVAP_TC_C,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
3568,TVAP_TC_C,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
3569,TVAP_TC_C,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
3570,TVAP_TC_C,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
3571,TVAP_TC_C,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
3572,TVAP_TC_C,Resource Management,Vegetation Protection,Prescribed Fire/Burning Management,Allowed,,NA,NA
3573,TVAP_TC_C,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
3574,TVAP_TC_C,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
3575,TVAP_TC_C,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
3576,TVAP_TC_C,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
3577,TVAP_TC_C,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
3578,TVAP_TC_C,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
3579,TVAP_TC_C,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
3580,TVAP_TC_G,Residential,Residential,Mobile Home Dwelling,Special Use,8,units per acre,NA
3581,TVAP_TC_G,Residential,Residential,Single Family Dwelling,Allowed,1,units per acre,"2 units per parcel, provided one unit is an authorized secondary residence. Condominiums only."
3582,TVAP_TC_G,Residential,Residential,Multiple Family Dwelling,Allowed,25,units per acre,NA
3583,TVAP_TC_G,Tourist Accommodation,Tourist Accommodation,Bed and Breakfast Facilities,Allowed,10,units per acre,NA
3584,TVAP_TC_G,Tourist Accommodation,Tourist Accommodation,"Hotel, Motel, and Other Transient Dwelling Units",Allowed,40,units per acre,NA
3585,TVAP_TC_G,Tourist Accommodation,Tourist Accommodation,Time Sharing (Hotel/Motel Design),Allowed,40,units per acre,NA
3586,TVAP_TC_G,Tourist Accommodation,Tourist Accommodation,Time Sharing (Residential Design),Allowed,40,units per acre,NA
3587,TVAP_TC_G,Commercial,Retail,General Merchandise Stores,Allowed,,NA,NA
3588,TVAP_TC_G,Commercial,Retail,Building Materials and Hardware,Special Use,,NA,NA
3589,TVAP_TC_G,Commercial,Retail,Nursery,Special Use,,NA,NA
3590,TVAP_TC_G,Commercial,Retail,Outdoor Retail Sales,Special Use,,NA,NA
3591,TVAP_TC_G,Commercial,Retail,Eating and Drinking Places,Allowed,,NA,NA
3592,TVAP_TC_G,Commercial,Retail,Service Stations,Special Use,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3593,TVAP_TC_G,Commercial,Entertainment,Amusements and Recreation Services,Allowed,,NA,NA
3594,TVAP_TC_G,Commercial,Entertainment,Outdoor Amusements,Special Use,,NA,NA
3595,TVAP_TC_G,Commercial,Entertainment,Privately Owned Assembly and Entertainment,Special Use,,NA,Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
3596,TVAP_TC_G,Commercial,Services,Animal Husbandry Services,Special Use,,NA,NA
3597,TVAP_TC_G,Commercial,Services,Business Support Services,Allowed,,NA,NA
3598,TVAP_TC_G,Commercial,Services,Professional Offices,Allowed,,NA,NA
3599,TVAP_TC_G,Commercial,Services,Repair Services,Allowed,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3600,TVAP_TC_G,Commercial,Services,Schools - Business and Vocational,Special Use,,NA,Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
3601,TVAP_TC_G,Commercial,Services,Secondary Storage,Special Use,,NA,NA
3602,TVAP_TC_G,Commercial,Services,Health Care Services,Allowed,,NA,NA
3603,TVAP_TC_G,Commercial,Light Industrial,Small Scale Manufacturing,Special Use,,NA,NA
3604,TVAP_TC_G,Commercial,Wholesale/Storage,Warehousing,Special Use,,NA,Limited to existing warehouse uses within the Town Center Gateway District (TC-G).
3607,TVAP_TC_G,Public Services,General,Membership Organizations,Allowed,,NA,NA
3608,TVAP_TC_G,Public Services,General,Religious Assembly,Allowed,,NA,NA
3610,TVAP_TC_G,Public Services,General,Cultural Facilities,Allowed,,NA,NA
3611,TVAP_TC_G,Public Services,General,Day Care Centers/Pre-Schools,Allowed,,NA,NA
3605,TVAP_TC_G,Commercial,Wholesale/Storage,Vehicle Storage and Parking,Special Use,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3606,TVAP_TC_G,Public Services,General,Local Public Health and Safety Facilities,Allowed,,NA,"Land use category is identified in TRPA Code Section 60.3 as a “possible contaminating activity,” triggering special requirements pursuant to TRPA Code Section 60.4 if located within Source Water Protection Zone (see Figure 9)."
3609,TVAP_TC_G,Public Services,General,Publicly Owned Assembly and Entertainment,Allowed,,NA,Portions of the Tahoe Valley Area Plan lie within the safety zones established by the Lake Tahoe Airport Comprehensive Land Use Plan (CLUP). Uses within these zones may be further restricted by the CLUP. Users of this Area Plan should refer to the CLUP to determine if additional restrictions are applicable to the property they are interested in or consult with the City of South Lake Tahoe Planning Division.
3612,TVAP_TC_G,Public Services,General,Government Offices,Allowed,,NA,NA
3613,TVAP_TC_G,Public Services,General,Local Assembly and Entertainment,Allowed,,NA,NA
3614,TVAP_TC_G,Public Services,General,Social Service Organizations,Allowed,,NA,NA
3615,TVAP_TC_G,Public Services,General,Threshold-Related Research Facilities,Allowed,,NA,NA
3616,TVAP_TC_G,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Special Use,,NA,NA
3617,TVAP_TC_G,Public Services,Linear Public Facilities,Transportation Routes,Allowed,,NA,NA
3618,TVAP_TC_G,Public Services,Linear Public Facilities,Transit Stations and Terminals,Special Use,,NA,NA
3619,TVAP_TC_G,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Special Use,,NA,NA
3620,TVAP_TC_G,Recreation,Recreation,Outdoor Recreation Concessions,Allowed,,NA,NA
3621,TVAP_TC_G,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
3622,TVAP_TC_G,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
3623,TVAP_TC_G,Recreation,Recreation,Visitor Information Centers,Special Use,,NA,NA
3624,TVAP_TC_G,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
3625,TVAP_TC_G,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
3626,TVAP_TC_G,Resource Management,Timber Management,Regeneration Harvest,Allowed,,NA,NA
3627,TVAP_TC_G,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
3628,TVAP_TC_G,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
3629,TVAP_TC_G,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
3630,TVAP_TC_G,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
