"","ZONING_ID","old_id","use","use_final","use1","use2","use3","density_num","density_unit","note"
"3065","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Special Use","Privately owned assembly and entertainment","commercial","Entertainment","Privately owned assembly and entertainment",NA,NA,NA
"3066","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Animal husbandry services","commercial","Services","Animal husbandry services",NA,NA,NA
"3067","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Personal services","commercial","Services","Personal services",NA,NA,NA
"3068","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Auto repair and service","commercial","Services","Auto repair and service",NA,NA,NA
"3069","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Professional offices","commercial","Services","Professional offices",NA,NA,NA
"3070","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Broadcasting studios","commercial","Services","Broadcasting studios",NA,NA,NA
"3071","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Repair services","commercial","Services","Repair services",NA,NA,NA
"3072","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Business support services","commercial","Services","Business support services",NA,NA,NA
"3073","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Sales lots","commercial","Services","Sales lots",NA,NA,NA
"3074","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Contract construction services","commercial","Services","Contract construction services",NA,NA,NA
"3075","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Schools - business and vocational","commercial","Services","Schools - business and vocational",NA,NA,NA
"3076","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Financial services","commercial","Services","Financial services",NA,NA,NA
"3077","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Secondary storage","commercial","Services","Secondary storage",NA,NA,NA
"3078","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Health care services","commercial","Services","Health care services",NA,NA,NA
"3079","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Laundries and dry cleaning plants","commercial","Services","Laundries and dry cleaning plants",NA,NA,NA
"3080","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Special Use","Batch plants","commercial","Light Industrial","Batch plants",NA,NA,NA
"3081","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Printing and publishing","commercial","Light Industrial","Printing and publishing",NA,NA,NA
"3082","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Recycling and scrap","commercial","Light Industrial","Recycling and scrap",NA,NA,NA
"3083","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Special Use","Fuel and ice dealers","commercial","Light Industrial","Fuel and ice dealers",NA,NA,NA
"3084","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Small scale manufacturing","commercial","Light Industrial","Small scale manufacturing",NA,NA,NA
"3085","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Special Use","Industrial services","commercial","Light Industrial","Industrial services",NA,NA,NA
"3086","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Storage yards","commercial","Wholesale/Storage","Storage yards",NA,NA,NA
"3087","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Warehousing","commercial","Wholesale/Storage","Warehousing",NA,NA,NA
"3088","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Vehicle and freight terminals","commercial","Wholesale/Storage","Vehicle and freight terminals",NA,NA,NA
"3089","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Wholesale and distribution","commercial","Wholesale/Storage","Wholesale and distribution",NA,NA,NA
"3090","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Vehicle storage and parking","commercial","Wholesale/Storage","Vehicle storage and parking",NA,NA,NA
"3091","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Local public health and safety facilities","public services","General","Local public health and safety facilities",NA,NA,NA
"3092","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Special Use","Churches (Religious Assembly)","public services","General","Churches (Religious Assembly)",NA,NA,NA
"3093","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Publicly owned assembly and entertainment","public services","General","Publicly owned assembly and entertainment",NA,NA,NA
"3094","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Collection stations","public services","General","Collection stations",NA,NA,NA
"3095","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Cultural facilities","public services","General","Cultural facilities",NA,NA,NA
"3096","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Public utility centers","public services","General","Public utility centers",NA,NA,NA
"3097","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Day care centers / pre-schools","public services","General","Day care centers / pre-schools",NA,NA,NA
"3098","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Special Use","Regional public health and safety facilities","public services","General","Regional public health and safety facilities",NA,NA,NA
"3099","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Government offices","public services","General","Government offices",NA,NA,NA
"3100","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Special Use","Local assembly and entertainment","public services","General","Local assembly and entertainment",NA,NA,NA
"3101","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Special Use","Schools - kindergarten through secondary","public services","General","Schools - kindergarten through secondary",NA,NA,NA
"3102","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Local post office","public services","General","Local post office",NA,NA,NA
"3103","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Social service organizations","public services","General","Social service organizations",NA,NA,NA
"3104","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Pipelines and power transmission","public services","Linear Public Facilities","Pipelines and power transmission",NA,NA,NA
"3105","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Special Use","Transportation routes","public services","Linear Public Facilities","Transportation routes",NA,NA,NA
"3106","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Transit stations and terminals","public services","Linear Public Facilities","Transit stations and terminals",NA,NA,NA
"3107","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Transmission and receiving facilities","public services","Linear Public Facilities","Transmission and receiving facilities",NA,NA,NA
"3108","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Special Use","Outdoor recreation concessions","recreation","Recreation","Outdoor recreation concessions",NA,NA,NA
"3109","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Participant sports facilities","recreation","Recreation","Participant sports facilities",NA,NA,NA
"3110","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Cross country ski courses","recreation","Recreation","Cross country ski courses",NA,NA,NA
"3111","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Recreation centers","recreation","Recreation","Recreation centers",NA,NA,NA
"3112","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Day use areas","recreation","Recreation","Day use areas",NA,NA,NA
"3113","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Riding and hiking trails","recreation","Recreation","Riding and hiking trails",NA,NA,NA
"3114","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Rural sports","recreation","Recreation","Rural sports",NA,NA,NA
"3115","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Snowmobile courses","recreation","Recreation","Snowmobile courses",NA,NA,NA
"3116","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Reforestation","resource management","Timber Management","Reforestation",NA,NA,NA
"3117","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Thinning","resource management","Timber Management","Thinning",NA,NA,NA
"3118","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Sanitation salvage cut","resource management","Timber Management","Sanitation salvage cut",NA,NA,NA
"3119","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Tree farms","resource management","Timber Management","Tree farms",NA,NA,NA
"3120","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Early successional vegetation management","resource management","Wildlife And Fishes","Early successional vegetation management",NA,NA,NA
"3121","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Structural fish habitat management","resource management","Wildlife And Fishes","Structural fish habitat management",NA,NA,NA
"3122","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Nonstructural fish habitat management","resource management","Wildlife And Fishes","Nonstructural fish habitat management",NA,NA,NA
"3123","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Structural wildlife management","resource management","Wildlife And Fishes","Structural wildlife management",NA,NA,NA
"3124","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Nonstructural wildlife management","resource management","Wildlife And Fishes","Nonstructural wildlife management",NA,NA,NA
"3125","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Fire detection and suppression","resource management","Vegetation Protection","Fire detection and suppression",NA,NA,NA
"3126","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Fuels treatment / management","resource management","Vegetation Protection","Fuels treatment / management",NA,NA,NA
"3127","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Sensitive plant management","resource management","Vegetation Protection","Sensitive plant management",NA,NA,NA
"3128","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Insect and disease suppression","resource management","Vegetation Protection","Insect and disease suppression",NA,NA,NA
"3129","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Uncommon plant community management","resource management","Vegetation Protection","Uncommon plant community management",NA,NA,NA
"3130","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Open Space","resource management","Open Space","Open Space",NA,NA,NA
"3131","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Erosion control","resource management","Watershed Improvements","Erosion control",NA,NA,NA
"3132","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Stream environmental zone (SEZ) restoration","resource management","Watershed Improvements","Stream environmental zone (SEZ) restoration",NA,NA,NA
"3133","PCAP_COM/PS_TAHOEVISTA","area_plan_72","Allowed","Runoff control","resource management","Watershed Improvements","Runoff control",NA,NA,NA
"3134","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Employee housing","residential","Residential","Employee housing",NA,NA,"no employee housing density in area plan"
"3135","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Residential care","residential","Residential","Residential care",25,"persons per acre per parcel",NA
"3136","PCAP_RES_TAHOEVISTA","area_plan_73","Special Use","Mobile home dwelling","residential","Residential","Mobile home dwelling",10,"units per acre per parcel",NA
"3137","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Single family dwelling","residential","Residential","Single family dwelling",1,"units per acre per parcel",NA
"3138","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Multiple family dwelling","residential","Residential","Multiple family dwelling",15,"units per acre per parcel",NA
"3139","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Multiple family dwelling","residential","Residential","Multiple family dwelling",0,"units per acre per parcel",NA
"3140","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Multi-person dwelling","residential","Residential","Multi-person dwelling",25,"persons per acre per parcel",NA
"3141","PCAP_RES_TAHOEVISTA","area_plan_73","Special Use","Local public health and safety facilities","public services","General","Local public health and safety facilities",NA,NA,NA
"3142","PCAP_RES_TAHOEVISTA","area_plan_73","Special Use","Churches (Religious Assembly)","public services","General","Churches (Religious Assembly)",NA,NA,NA
"3143","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Day care centers / pre-schools","public services","General","Day care centers / pre-schools",NA,NA,NA
"3144","PCAP_RES_TAHOEVISTA","area_plan_73","Special Use","Schools - kindergarten through secondary","public services","General","Schools - kindergarten through secondary",NA,NA,NA
"3145","PCAP_RES_TAHOEVISTA","area_plan_73","Special Use","Pipelines and power transmission","public services","Linear Public Facilities","Pipelines and power transmission",NA,NA,NA
"3146","PCAP_RES_TAHOEVISTA","area_plan_73","Special Use","Transportation routes","public services","Linear Public Facilities","Transportation routes",NA,NA,NA
"3147","PCAP_RES_TAHOEVISTA","area_plan_73","Special Use","Transit stations and terminals","public services","Linear Public Facilities","Transit stations and terminals",NA,NA,NA
"3148","PCAP_RES_TAHOEVISTA","area_plan_73","Special Use","Transmission and receiving facilities","public services","Linear Public Facilities","Transmission and receiving facilities",NA,NA,NA
"3149","PCAP_RES_TAHOEVISTA","area_plan_73","Special Use","Cross country ski courses","recreation","Recreation","Cross country ski courses",NA,NA,NA
"3150","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Day use areas","recreation","Recreation","Day use areas",NA,NA,NA
"3151","PCAP_RES_TAHOEVISTA","area_plan_73","Special Use","Recreational vehicle parks","recreation","Recreation","Recreational vehicle parks",NA,NA,NA
"3152","PCAP_RES_TAHOEVISTA","area_plan_73","Special Use","Developed campgrounds","recreation","Recreation","Developed campgrounds",NA,NA,NA
"3153","PCAP_RES_TAHOEVISTA","area_plan_73","Special Use","Riding and hiking trails","recreation","Recreation","Riding and hiking trails",NA,NA,NA
"3154","PCAP_RES_TAHOEVISTA","area_plan_73","Special Use","Rural sports","recreation","Recreation","Rural sports",NA,NA,NA
"3155","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Reforestation","resource management","Timber Management","Reforestation",NA,NA,NA
"3156","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Thinning","resource management","Timber Management","Thinning",NA,NA,NA
"3157","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Sanitation salvage cut","resource management","Timber Management","Sanitation salvage cut",NA,NA,NA
"3158","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Tree farms","resource management","Timber Management","Tree farms",NA,NA,NA
"3159","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Early successional vegetation management","resource management","Wildlife And Fishes","Early successional vegetation management",NA,NA,NA
"3160","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Structural fish habitat management","resource management","Wildlife And Fishes","Structural fish habitat management",NA,NA,NA
"3161","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Nonstructural fish habitat management","resource management","Wildlife And Fishes","Nonstructural fish habitat management",NA,NA,NA
"3162","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Structural wildlife management","resource management","Wildlife And Fishes","Structural wildlife management",NA,NA,NA
"3163","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Nonstructural wildlife management","resource management","Wildlife And Fishes","Nonstructural wildlife management",NA,NA,NA
"3164","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Fire detection and suppression","resource management","Vegetation Protection","Fire detection and suppression",NA,NA,NA
"3165","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Fuels treatment / management","resource management","Vegetation Protection","Fuels treatment / management",NA,NA,NA
"3166","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Sensitive plant management","resource management","Vegetation Protection","Sensitive plant management",NA,NA,NA
"3167","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Insect and disease suppression","resource management","Vegetation Protection","Insect and disease suppression",NA,NA,NA
"3168","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Uncommon plant community management","resource management","Vegetation Protection","Uncommon plant community management",NA,NA,NA
"3169","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Open Space","resource management","Open Space","Open Space",NA,NA,NA
"3170","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Erosion control","resource management","Watershed Improvements","Erosion control",NA,NA,NA
"3171","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Stream environmental zone (SEZ) restoration","resource management","Watershed Improvements","Stream environmental zone (SEZ) restoration",NA,NA,NA
"3172","PCAP_RES_TAHOEVISTA","area_plan_73","Allowed","Runoff control","resource management","Watershed Improvements","Runoff control",NA,NA,NA
"3173","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Single family dwelling","residential","Residential","Single family dwelling",1,"units per acre per parcel",NA
"3174","PCAP_RES_TAHOEVISTA","area_plan_74","Special Use","Local public health and safety facilities","public services","General","Local public health and safety facilities",NA,NA,NA
"3175","PCAP_RES_TAHOEVISTA","area_plan_74","Special Use","Churches (Religious Assembly)","public services","General","Churches (Religious Assembly)",NA,NA,NA
"3176","PCAP_RES_TAHOEVISTA","area_plan_74","Special Use","Public utility centers","public services","General","Public utility centers",NA,NA,NA
"3177","PCAP_RES_TAHOEVISTA","area_plan_74","Special Use","Day care centers / pre-schools","public services","General","Day care centers / pre-schools",NA,NA,NA
"3178","PCAP_RES_TAHOEVISTA","area_plan_74","Special Use","Local post office","public services","General","Local post office",NA,NA,NA
"3179","PCAP_RES_TAHOEVISTA","area_plan_74","Special Use","Pipelines and power transmission","public services","Linear Public Facilities","Pipelines and power transmission",NA,NA,NA
"3180","PCAP_RES_TAHOEVISTA","area_plan_74","Special Use","Transportation routes","public services","Linear Public Facilities","Transportation routes",NA,NA,NA
"3181","PCAP_RES_TAHOEVISTA","area_plan_74","Special Use","Transit stations and terminals","public services","Linear Public Facilities","Transit stations and terminals",NA,NA,NA
"3182","PCAP_RES_TAHOEVISTA","area_plan_74","Special Use","Transmission and receiving facilities","public services","Linear Public Facilities","Transmission and receiving facilities",NA,NA,NA
"3183","PCAP_RES_TAHOEVISTA","area_plan_74","Special Use","Participant sports facilities","recreation","Recreation","Participant sports facilities",NA,NA,NA
"3184","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Day use areas","recreation","Recreation","Day use areas",NA,NA,NA
"3185","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Riding and hiking trails","recreation","Recreation","Riding and hiking trails",NA,NA,NA
"3186","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Reforestation","resource management","Timber Management","Reforestation",NA,NA,NA
"3187","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Special cut","resource management","Timber Management","Special cut",NA,NA,NA
"3188","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Thinning","resource management","Timber Management","Thinning",NA,NA,NA
"3189","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Sanitation salvage cut","resource management","Timber Management","Sanitation salvage cut",NA,NA,NA
"3190","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Early successional vegetation management","resource management","Wildlife And Fishes","Early successional vegetation management",NA,NA,NA
"3191","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Structural fish habitat management","resource management","Wildlife And Fishes","Structural fish habitat management",NA,NA,NA
"3192","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Nonstructural fish habitat management","resource management","Wildlife And Fishes","Nonstructural fish habitat management",NA,NA,NA
"3193","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Structural wildlife management","resource management","Wildlife And Fishes","Structural wildlife management",NA,NA,NA
"3194","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Nonstructural wildlife management","resource management","Wildlife And Fishes","Nonstructural wildlife management",NA,NA,NA
"3195","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Fire detection and suppression","resource management","Vegetation Protection","Fire detection and suppression",NA,NA,NA
"3196","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Fuels treatment / management","resource management","Vegetation Protection","Fuels treatment / management",NA,NA,NA
"3197","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Sensitive plant management","resource management","Vegetation Protection","Sensitive plant management",NA,NA,NA
"3198","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Insect and disease suppression","resource management","Vegetation Protection","Insect and disease suppression",NA,NA,NA
"3199","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Uncommon plant community management","resource management","Vegetation Protection","Uncommon plant community management",NA,NA,NA
"3200","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Open Space","resource management","Open Space","Open Space",NA,NA,NA
"3201","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Erosion control","resource management","Watershed Improvements","Erosion control",NA,NA,NA
"3202","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Stream environmental zone (SEZ) restoration","resource management","Watershed Improvements","Stream environmental zone (SEZ) restoration",NA,NA,NA
"3203","PCAP_RES_TAHOEVISTA","area_plan_74","Allowed","Runoff control","resource management","Watershed Improvements","Runoff control",NA,NA,NA
"3204","PCAP_RES_TAHOMA","area_plan_75","Allowed","Single family dwelling","residential","Residential","Single family dwelling",1,"units per acre per parcel",NA
"3205","PCAP_RES_TAHOMA","area_plan_75","Allowed","Multiple family dwelling","residential","Residential","Multiple family dwelling",8,"units per acre per parcel",NA
"3206","PCAP_RES_TAHOMA","area_plan_75","Special Use","Multi-person dwelling","residential","Residential","Multi-person dwelling",15,"persons per acre per parcel",NA
"3207","PCAP_RES_TAHOMA","area_plan_75","Special Use","Bed and breakfast facilities","tourist accommodation","Tourist Accommodation","Bed and breakfast facilities",NA,NA,NA
"3208","PCAP_RES_TAHOMA","area_plan_75","Special Use","Local public health and safety facilities","public services","General","Local public health and safety facilities",NA,NA,NA
"3209","PCAP_RES_TAHOMA","area_plan_75","Special Use","Churches (Religious Assembly)","public services","General","Churches (Religious Assembly)",NA,NA,NA
"3210","PCAP_RES_TAHOMA","area_plan_75","Special Use","Public utility centers","public services","General","Public utility centers",NA,NA,NA
"3211","PCAP_RES_TAHOMA","area_plan_75","Special Use","Day care centers / pre-schools","public services","General","Day care centers / pre-schools",NA,NA,NA
"3212","PCAP_RES_TAHOMA","area_plan_75","Special Use","Local post office","public services","General","Local post office",NA,NA,NA
"3213","PCAP_RES_TAHOMA","area_plan_75","Special Use","Pipelines and power transmission","public services","Linear Public Facilities","Pipelines and power transmission",NA,NA,NA
"3214","PCAP_RES_TAHOMA","area_plan_75","Special Use","Transportation routes","public services","Linear Public Facilities","Transportation routes",NA,NA,NA
"3215","PCAP_RES_TAHOMA","area_plan_75","Special Use","Transit stations and terminals","public services","Linear Public Facilities","Transit stations and terminals",NA,NA,NA
"3216","PCAP_RES_TAHOMA","area_plan_75","Special Use","Transmission and receiving facilities","public services","Linear Public Facilities","Transmission and receiving facilities",NA,NA,NA
"3217","PCAP_RES_TAHOMA","area_plan_75","Allowed","Beach recreation","recreation","Recreation","Beach recreation",NA,NA,NA
"3218","PCAP_RES_TAHOMA","area_plan_75","Special Use","Participant sports facilities","recreation","Recreation","Participant sports facilities",NA,NA,NA
"3219","PCAP_RES_TAHOMA","area_plan_75","Allowed","Day use areas","recreation","Recreation","Day use areas",NA,NA,NA
"3220","PCAP_RES_TAHOMA","area_plan_75","Allowed","Riding and hiking trails","recreation","Recreation","Riding and hiking trails",NA,NA,NA
"3221","PCAP_RES_TAHOMA","area_plan_75","Allowed","Reforestation","resource management","Timber Management","Reforestation",NA,NA,NA
"3222","PCAP_RES_TAHOMA","area_plan_75","Allowed","Special cut","resource management","Timber Management","Special cut",NA,NA,NA
"3223","PCAP_RES_TAHOMA","area_plan_75","Allowed","Thinning","resource management","Timber Management","Thinning",NA,NA,NA
"3224","PCAP_RES_TAHOMA","area_plan_75","Allowed","Sanitation salvage cut","resource management","Timber Management","Sanitation salvage cut",NA,NA,NA
"3225","PCAP_RES_TAHOMA","area_plan_75","Allowed","Early successional vegetation management","resource management","Wildlife And Fishes","Early successional vegetation management",NA,NA,NA
"3226","PCAP_RES_TAHOMA","area_plan_75","Allowed","Structural fish habitat management","resource management","Wildlife And Fishes","Structural fish habitat management",NA,NA,NA
"3227","PCAP_RES_TAHOMA","area_plan_75","Allowed","Nonstructural fish habitat management","resource management","Wildlife And Fishes","Nonstructural fish habitat management",NA,NA,NA
"3228","PCAP_RES_TAHOMA","area_plan_75","Allowed","Structural wildlife management","resource management","Wildlife And Fishes","Structural wildlife management",NA,NA,NA
"3229","PCAP_RES_TAHOMA","area_plan_75","Allowed","Nonstructural wildlife management","resource management","Wildlife And Fishes","Nonstructural wildlife management",NA,NA,NA
"3230","PCAP_RES_TAHOMA","area_plan_75","Allowed","Fire detection and suppression","resource management","Vegetation Protection","Fire detection and suppression",NA,NA,NA
"3231","PCAP_RES_TAHOMA","area_plan_75","Allowed","Fuels treatment / management","resource management","Vegetation Protection","Fuels treatment / management",NA,NA,NA
"3232","PCAP_RES_TAHOMA","area_plan_75","Allowed","Sensitive plant management","resource management","Vegetation Protection","Sensitive plant management",NA,NA,NA
"3233","PCAP_RES_TAHOMA","area_plan_75","Allowed","Insect and disease suppression","resource management","Vegetation Protection","Insect and disease suppression",NA,NA,NA
"3234","PCAP_RES_TAHOMA","area_plan_75","Allowed","Uncommon plant community management","resource management","Vegetation Protection","Uncommon plant community management",NA,NA,NA
"3235","PCAP_RES_TAHOMA","area_plan_75","Allowed","Open Space","resource management","Open Space","Open Space",NA,NA,NA
"3236","PCAP_RES_TAHOMA","area_plan_75","Allowed","Erosion control","resource management","Watershed Improvements","Erosion control",NA,NA,NA
"3237","PCAP_RES_TAHOMA","area_plan_75","Allowed","Stream environmental zone (SEZ) restoration","resource management","Watershed Improvements","Stream environmental zone (SEZ) restoration",NA,NA,NA
"3238","PCAP_RES_TAHOMA","area_plan_75","Allowed","Runoff control","resource management","Watershed Improvements","Runoff control",NA,NA,NA
"3239","PCAP_MU_VC_TAHOMA","area_plan_76","Special Use","Nursing and personal care","residential","Residential","Nursing and personal care",25,"persons per acre per parcel",NA
"3240","PCAP_MU_VC_TAHOMA","area_plan_76","Special Use","Employee housing","residential","Residential","Employee housing",NA,NA,"no employee housing density in area plan"
"3241","PCAP_MU_VC_TAHOMA","area_plan_76","Special Use","Residential care","residential","Residential","Residential care",25,"persons per acre per parcel",NA
"3242","PCAP_MU_VC_TAHOMA","area_plan_76","Allowed","Single family dwelling","residential","Residential","Single family dwelling",1,"units per acre per parcel",NA
"3243","PCAP_MU_VC_TAHOMA","area_plan_76","Special Use","Multiple family dwelling","residential","Residential","Multiple family dwelling",8,"units per acre per parcel",NA
"3244","PCAP_MU_VC_TAHOMA","area_plan_76","Allowed","Bed and breakfast facilities","tourist accommodation","Tourist Accommodation","Bed and breakfast facilities",NA,NA,NA
"3245","PCAP_MU_VC_TAHOMA","area_plan_76","Special Use","Hotel, motel, and other transient dwelling units","tourist accommodation","Tourist Accommodation","Hotel, motel, and other transient dwelling units",NA,NA,NA
"3246","PCAP_MU_VC_TAHOMA","area_plan_76","Special Use","Time sharing (hotel/motel design)","tourist accommodation","Tourist Accommodation","Time sharing (hotel/motel design)",NA,NA,NA
"3247","PCAP_MU_VC_TAHOMA","area_plan_76","Special Use","Time sharing (residential design)","tourist accommodation","Tourist Accommodation","Time sharing (residential design)",NA,NA,NA
"3248","PCAP_MU_VC_TAHOMA","area_plan_76","Special Use","Auto, mobile home, and  vehicle dealers","commercial","Retail","Auto, mobile home, and  vehicle dealers",NA,NA,NA
"3249","PCAP_MU_VC_TAHOMA","area_plan_76","Allowed","General merchandise stores","commercial","Retail","General merchandise stores",NA,NA,NA
"3250","PCAP_MU_VC_TAHOMA","area_plan_76","Allowed","Mail order and vending","commercial","Retail","Mail order and vending",NA,NA,NA
"3251","PCAP_MU_VC_TAHOMA","area_plan_76","Special Use","Building materials and hardware","commercial","Retail","Building materials and hardware",NA,NA,NA
"3252","PCAP_MU_VC_TAHOMA","area_plan_76","Allowed","Nursery","commercial","Retail","Nursery",NA,NA,NA
"3253","PCAP_MU_VC_TAHOMA","area_plan_76","Allowed","Outdoor retail sales","commercial","Retail","Outdoor retail sales",NA,NA,NA
"3254","PCAP_MU_VC_TAHOMA","area_plan_76","Allowed","Eating and drinking places","commercial","Retail","Eating and drinking places",NA,NA,NA
"3255","PCAP_MU_VC_TAHOMA","area_plan_76","Allowed","Service stations","commercial","Retail","Service stations",NA,NA,NA
"3256","PCAP_MU_VC_TAHOMA","area_plan_76","Allowed","Food and beverage retail sales","commercial","Retail","Food and beverage retail sales",NA,NA,NA
